id,company,product,section,query,intent,expected_feedback,feedback,weak_spot_type
563,Deltava LifeSciences,,meta_pattern,How should a rep respond if a doctor asks for comparison with competitors?,analyzer_training,neutral,👎,analysis_signal
190,Bravira Therapeutics,BreatheCalm Duo,doctor_pitch,What is the doctor-facing message for BreatheCalm Duo?,field_support,positive,👍,pitch_clarity
183,Bravira Therapeutics,AllerNase,negative_spots,What could go wrong if the assistant overstates claims about AllerNase?,field_support,negative,👎,failure_mode
357,Deltava LifeSciences,Neurova SR,evidence_story,How should the assistant explain the evidence for Neurova SR?,field_support,positive,👍,evidence_missing_or_overstated
418,Deltava LifeSciences,MyoRelax,safety,What must be avoided when discussing MyoRelax?,field_support,positive,👎,safety_gap
308,Celestia Biologics,UltraProbiotic,comparison_language,How should UltraProbiotic be positioned against competitor options?,field_support,positive,👍,unsafe_comparison
156,Bravira Therapeutics,RespiraX HFA,safety,What must be avoided when discussing RespiraX HFA?,field_support,positive,👍,safety_gap
470,Epsilon Care,AntiBac-CL,comparison_language,How should AntiBac-CL be positioned against competitor options?,field_support,positive,👍,unsafe_comparison
139,Bravira Therapeutics,RespiraX HFA,doctor_pitch,How should a field medical rep pitch RespiraX HFA to doctors?,field_support,positive,👍,pitch_clarity
298,Celestia Biologics,UltraProbiotic,doctor_pitch,How should UltraProbiotic be introduced to a clinician?,field_support,positive,👍,pitch_clarity
319,Deltava LifeSciences,,What products are listed in {company}?,What products are listed in Deltava LifeSciences?,document_retrieval,neutral,👎,none
266,Celestia Biologics,GastaZen,negative_spots,What are the likely weak spots for Celestia Biologics content?,field_support,negative,👍,failure_mode
255,Celestia Biologics,GastaZen,comparison_language,How can GastaZen be compared with competitors safely?,field_support,positive,👎,unsafe_comparison
501,Epsilon Care,DermaShield,negative_spots,What could go wrong if the assistant overstates claims about DermaShield?,field_support,negative,👍,failure_mode
466,Epsilon Care,AntiBac-CL,comparison_language,What comparison language is allowed for AntiBac-CL?,field_support,positive,👍,unsafe_comparison
154,Bravira Therapeutics,RespiraX HFA,safety,What safety points should the AI assistant mention for RespiraX HFA?,field_support,positive,👍,safety_gap
541,Bravira Therapeutics,,meta_pattern,Give me the approved messaging for Bravira Therapeutics.,analyzer_training,neutral,👎,analysis_signal
444,Epsilon Care,,List the approval steps before field deployment.,List the approval steps before field deployment.,document_retrieval,neutral,👎,none
16,Asteron Pharma,,What is the commercial strategy for {company}?,What is the commercial strategy for Asteron Pharma?,document_retrieval,neutral,👍,none
341,Deltava LifeSciences,,Show sample questions and answers for {company}.,Show sample questions and answers for Deltava LifeSciences.,document_retrieval,neutral,👎,none
132,Bravira Therapeutics,,Provide sample doctor support Q&A for {company}.,Provide sample doctor support Q&A for Bravira Therapeutics.,document_retrieval,neutral,👎,none
60,Asteron Pharma,GlucoSure XR,doctor_pitch,Provide a concise doctor call pitch for GlucoSure XR.,field_support,positive,👍,pitch_clarity
313,Celestia Biologics,UltraProbiotic,safety,What are the key safety warnings for UltraProbiotic?,field_support,positive,👍,safety_gap
210,Bravira Therapeutics,BreatheCalm Duo,negative_spots,What are the likely weak spots for Bravira Therapeutics content?,field_support,negative,👎,failure_mode
76,Asteron Pharma,GlucoSure XR,safety,What are the key safety warnings for GlucoSure XR?,field_support,positive,👍,safety_gap
451,Epsilon Care,,What RCPA/RAG signals should be tracked for {company}?,What RCPA/RAG signals should be tracked for Epsilon Care?,document_retrieval,neutral,👎,none
331,Deltava LifeSciences,,How should {company} position its brands strategically?,How should Deltava LifeSciences position its brands strategically?,document_retrieval,neutral,👍,none
